iter	Passed	Remaining
747	1132	381
748	1133	379
749	1135	378
750	1136	376
751	1138	375
752	1140	374
753	1142	372
754	1143	371
755	1145	369
756	1146	368
757	1147	366
758	1149	364
759	1150	363
760	1152	361
761	1153	360
762	1155	358
763	1156	357
764	1157	355
765	1159	354
766	1161	352
767	1162	351
768	1166	350
769	1169	349
770	1170	347
771	1172	346
772	1173	344
773	1175	343
774	1177	341
775	1178	340
776	1180	338
777	1181	337
778	1183	335
779	1184	334
780	1186	332
781	1187	331
782	1188	329
783	1190	327
784	1191	326
785	1193	324
786	1194	323
787	1196	321
788	1197	320
789	1198	318
790	1200	317
791	1201	315
792	1203	314
793	1206	312
794	1207	311
795	1208	309
796	1210	308
797	1211	306
798	1213	305
799	1214	303
800	1215	302
801	1217	300
802	1218	299
803	1220	297
804	1221	295
805	1223	294
806	1224	292
807	1225	291
808	1227	289
809	1228	288
810	1230	286
811	1231	285
812	1232	283
813	1234	282
814	1235	280
815	1236	278
816	1238	277
817	1239	275
818	1241	274
819	1243	272
820	1244	271
821	1245	269
822	1247	268
823	1248	266
824	1249	265
825	1251	263
826	1252	262
827	1254	260
828	1256	259
829	1257	257
830	1258	256
831	1260	254
832	1261	252
833	1263	251
834	1264	249
835	1265	248
836	1267	246
837	1268	245
838	1270	243
839	1272	242
840	1273	240
841	1275	239
842	1276	237
843	1278	236
844	1279	234
845	1281	233
846	1282	231
847	1283	230
848	1285	228
849	1286	227
850	1288	225
851	1289	224
852	1291	222
853	1292	220
854	1294	219
855	1295	217
856	1296	216
857	1298	214
858	1299	213
859	1301	211
860	1303	210
861	1304	208
862	1306	207
863	1307	205
864	1308	204
865	1310	202
866	1311	201
867	1313	199
868	1314	198
869	1316	196
870	1317	195
871	1319	193
872	1320	192
873	1321	190
874	1323	189
875	1324	187
876	1326	185
877	1327	184
878	1328	182
879	1330	181
880	1331	179
881	1333	178
882	1334	176
883	1336	175
884	1337	173
885	1338	172
886	1340	170
887	1341	169
888	1342	167
889	1344	166
890	1345	164
891	1347	163
892	1348	161
893	1349	160
894	1351	158
895	1352	157
896	1354	155
897	1355	153
898	1357	152
899	1358	150
900	1359	149
901	1361	147
902	1362	146
903	1364	144
904	1365	143
905	1366	141
906	1368	140
907	1369	138
908	1371	137
909	1372	135
910	1374	134
911	1375	132
912	1376	131
913	1378	129
914	1379	128
915	1381	126
916	1383	125
917	1384	123
918	1385	122
919	1387	120
920	1388	119
921	1390	117
922	1391	116
923	1396	114
924	1398	113
925	1399	111
926	1401	110
927	1402	108
928	1404	107
929	1405	105
930	1407	104
931	1409	102
932	1410	101
933	1411	99
934	1413	98
935	1414	96
936	1416	95
937	1417	93
938	1418	92
939	1420	90
940	1421	89
941	1423	87
942	1424	86
943	1425	84
944	1427	83
945	1428	81
946	1430	80
947	1432	78
948	1434	77
949	1436	75
950	1437	74
951	1439	72
952	1440	71
953	1441	69
954	1443	68
955	1444	66
956	1446	64
957	1447	63
958	1449	61
959	1450	60
960	1452	58
961	1453	57
962	1454	55
963	1456	54
964	1457	52
965	1458	51
966	1460	49
967	1461	48
968	1463	46
969	1465	45
970	1466	43
971	1467	42
972	1469	40
973	1470	39
974	1472	37
975	1473	36
976	1475	34
977	1476	33
978	1478	31
979	1479	30
980	1480	28
981	1482	27
982	1483	25
983	1485	24
984	1487	22
985	1488	21
986	1489	19
987	1491	18
988	1492	16
989	1494	15
990	1495	13
991	1497	12
992	1498	10
993	1500	9
994	1501	7
995	1502	6
996	1504	4
997	1505	3
998	1506	1
999	1508	0
