iter	RMSE
0	79.14001415
1	77.32415741
2	75.69857962
3	74.16929325
4	72.67981861
5	71.19970945
6	69.65542842
7	68.04840043
8	66.60482553
9	65.14037659
10	63.76353526
11	62.44564098
12	61.16242641
13	59.94051539
14	58.84888898
15	57.65813139
16	56.61594877
17	55.65676055
18	54.58762011
19	53.59881471
20	52.4853729
21	51.41365063
22	50.35279382
23	49.44127233
24	48.39853901
25	47.41099629
26	46.61676146
27	45.69393712
28	44.79315909
29	44.12440202
30	43.42948535
31	42.64693717
32	41.92773041
33	41.08912281
34	40.37310898
35	39.62749817
36	38.89182745
37	38.33136663
38	37.66027343
39	37.07187449
40	36.51676177
41	35.87183176
42	35.23983271
43	34.70563599
44	34.10610698
45	33.51406329
46	33.0291899
47	32.55690299
48	32.03636509
49	31.54045825
50	31.0569467
51	30.61384301
52	30.13318975
53	29.77713654
54	29.31293443
55	28.86161732
56	28.51954332
57	28.10500118
58	27.73487032
59	27.32722498
60	26.97582217
61	26.6030599
62	26.25574954
63	25.84408602
64	25.51619228
65	25.1511221
66	24.80646421
67	24.50918591
68	24.15642064
69	23.86700267
70	23.55111807
71	23.24882569
72	22.92669368
73	22.60515638
74	22.34385937
75	22.12116169
76	21.89062077
77	21.61494693
78	21.3894112
79	21.12268258
80	20.92679275
81	20.65120445
82	20.43264382
83	20.1685473
84	19.93763341
85	19.75334059
86	19.56443014
87	19.35697162
88	19.13924447
89	18.913147
90	18.70418953
91	18.52762624
92	18.36907391
93	18.15539917
94	17.95638275
95	17.77706482
96	17.59610202
97	17.42111921
98	17.28451762
99	17.12909492
100	16.99144822
101	16.86405002
102	16.71828493
103	16.55971715
104	16.42814804
105	16.27148688
106	16.10353135
107	15.98241685
108	15.82652745
109	15.68883765
110	15.57346106
111	15.4561606
112	15.31184647
113	15.1908436
114	15.08643941
115	14.9776824
116	14.88853951
117	14.76855013
118	14.65736139
119	14.55245986
120	14.44761574
121	14.33555252
122	14.22736245
123	14.13461644
124	14.04741004
125	13.91192152
126	13.81641697
127	13.69516018
128	13.59165148
129	13.50804575
130	13.41357855
131	13.33374972
132	13.24123876
133	13.16242264
134	13.07089527
135	12.99198139
136	12.92189767
137	12.84236274
138	12.76195707
139	12.67058095
140	12.60621556
141	12.54028173
142	12.47197945
143	12.41668394
144	12.35974528
145	12.28542312
146	12.22534872
147	12.16791449
148	12.10768685
